date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-09-01,0%,4%,neutral,100%,-0.2667328853917049,0.0,20131.46
2022-09-02,0%,4%,neutral,100%,-0.00892135990136822,0.0,19951.86
2022-09-05,0%,4%,neutral,100%,-0.007769701671924367,0.0,19796.84
2022-09-06,0%,4%,neutral,100%,-0.05082780888262972,0.0,18790.61
2022-09-07,0%,4%,neutral,100%,0.026727711340930327,0.0,19292.84
2022-09-08,0%,4%,neutral,100%,0.0013958546279344564,0.0,19319.77
2022-09-09,0%,4%,neutral,100%,0.10560891770450676,0.0,21360.11
2022-09-12,0%,4%,neutral,100%,0.048484300876727726,0.0,22395.74
2022-09-13,0%,4%,neutral,100%,-0.0992228879242214,0.0,20173.57
2022-09-14,0%,4%,neutral,100%,0.0026341396193136912,0.0,20226.71
2022-09-15,0%,4%,neutral,100%,-0.02594737354715615,0.0,19701.88
2022-09-16,0%,4%,neutral,100%,0.005147732094602064,0.0,19803.3
2022-09-19,0%,4%,neutral,100%,-0.0134462438078502,0.0,19537.02
2022-09-20,0%,4%,neutral,100%,-0.03388541343562124,0.0,18875.0
2022-09-21,0%,4%,neutral,100%,-0.021914701986754936,0.0,18461.36
2022-09-22,0%,4%,neutral,100%,0.050931784007245406,0.0,19401.63
2022-09-23,-2%,4%,bear,50%,-0.00575827907242854,0.0,19289.91
2022-09-26,-2%,4%,bear,50%,-0.0032187812177454367,0.0,19227.82
2022-09-27,2%,4%,bull,100%,-0.007733065942992945,0.0,19079.13
2022-09-28,0%,4%,neutral,100%,0.017489791201171112,0.0,19412.82
2022-09-29,0%,4%,neutral,100%,0.009204742020994416,0.0,19591.51
2022-09-30,0%,4%,neutral,100%,-0.008621081274490683,0.0,19422.61
2022-10-03,0%,4%,neutral,100%,0.010630394164327095,0.0,19629.08
2022-10-04,0%,4%,neutral,100%,0.03610663362725086,0.0,20337.82
2022-10-05,2%,4%,bull,100%,-0.00882887153097045,5276.486616444942,20158.26
2022-10-06,0%,4%,neutral,100%,-0.00980193727037948,5224.766825622552,19960.67
2022-10-07,0%,4%,neutral,100%,-0.02157142019781888,5112.061184991423,19530.09
2022-10-10,0%,4%,neutral,100%,-0.020390075007334918,5007.825873987363,19131.87
2022-10-11,0%,4%,neutral,100%,-0.003756559081783406,4989.013680220446,19060.0
2022-10-12,-2%,4%,bear,50%,0.005012067156348277,2507.0094759148255,19155.53
2022-10-13,0%,4%,neutral,100%,0.011464052417239357,2535.7499639572293,19375.13
2022-10-14,0%,4%,neutral,100%,-0.010229608781979871,2509.8102338570275,19176.93
2022-10-17,0%,4%,neutral,100%,0.01944680405049204,2558.6180216787643,19549.86
2022-10-18,0%,4%,neutral,100%,-0.011377063569764756,2529.508461795379,19327.44
2022-10-19,0%,4%,neutral,100%,-0.01052751942316199,2502.879012332776,19123.97
2022-10-20,0%,4%,neutral,100%,-0.004290427144573172,2492.1405922786807,19041.92
2022-10-21,0%,4%,neutral,100%,0.006430549020266962,2508.1664245227257,19164.37
2022-10-24,0%,4%,neutral,100%,0.008627990380064787,2529.8068603051092,19329.72
2022-10-25,0%,4%,neutral,100%,0.03881846193323013,2628.010071610288,20080.07
2022-10-26,0%,4%,neutral,100%,0.03443812695872084,2718.5138161051996,20771.59
